indicator_id,year,value
#indicator+code,#date+year,#indicator+value+num
68606,2019,0.395
137506,2019,0.777
138806,2019,0.628
68606,2018,0.401
137506,2018,0.771
138806,2018,0.622
68606,2017,0.411
137506,2017,0.767
138806,2017,0.62
68606,2016,0.408
137506,2016,0.765
138806,2016,0.612
68606,2015,0.425
137506,2015,0.759
138806,2015,0.595
68606,2014,0.428
137506,2014,0.76
138806,2014,0.582
68606,2013,0.432
137506,2013,0.75
138806,2013,0.572
68606,2012,0.436
137506,2012,0.742
138806,2012,0.562
68606,2011,0.44
137506,2011,0.734
138806,2011,0.564
68606,2010,0.43
137506,2010,0.721
138806,2010,0.5
137506,2009,0.718
137506,2008,0.715
137506,2007,0.704
137506,2006,0.697
68606,2005,0.464
137506,2005,0.699
137506,2004,0.694
137506,2003,0.687
137506,2002,0.688
137506,2001,0.687
137506,2000,0.679
137506,1999,0.677
137506,1998,0.667
137506,1997,0.657
137506,1996,0.651
68606,1995,0.549
137506,1995,0.646
137506,1994,0.636
137506,1993,0.625
137506,1992,0.62
137506,1991,0.62
137506,1990,0.613
